Graph Degree  (#node),BFS program elapsed time (ms),DFS program elapsed time (ms),BFS procedure (ms),DFS procedure (ms),Graph density,Start Node,End Node,Reached
15,5314.392,186.544,23.121,12.538,0.07619,2,15,NO
8,5393.446,52.238,17.374,3.374,0.16071,7,1,NO
14,5233.644,88.111,22.195,2.991,0.13736,5,14,NO
20,5246.367,104.426,7.702,6.697,0.09211,3,19,NO
30,5240.688,133.494,6.801,6.217,0.05862,16,27,YES
16,5263.046,114.219,29.979,22.709,0.15833,1,16,YES
17,5205.812,123.24,8.824,6.499,0.12132,2,15,YES
25,5263.723,170.126,27.028,9.043,0.08167,12,25,YES
35,174.269,146.783,4.99,5.958,0.0563,4,27,YES
40,5390.8,209.032,27.258,22.97,0.05321,1,40,YES
45,245.382,5370.314,17.173,23.789,0.04343,12,37,NO
50,364.792,5495.489,31.355,18.245,0.0502,33,49,NO
55,232.056,229.078,16.986,5.603,0.02727,49,53,NO
61,444.283,436.901,21.892,21.57,0.04098,60,22,NO
66,651.982,636.595,13.316,24.241,0.04452,15,63,YES
70,858.342,695.895,10.625,24.894,0.04265,20,68,YES
27,159.868,5632.872,5.549,21.982,0.07123,7,17,NO
32,5381.651,640.736,24.977,18.391,0.09073,5,28,YES
75,1037.861,6036.78,13.205,51.719,0.04577,20,75,YES
85,9936.253,1549.651,13.432,23.134,0.0451,15,77,YES
100,6665.993,6684.642,42.735,49.045,0.03949,2,86,YES
101,10672.519,5584.142,43.328,74.691,0.03881,55,98,YES
102,7134.531,3831.328,58.364,57.66,0.03883,55,77,YES
103,7405.545,3612.652,20.583,28.473,0.03826,1,103,YES
104,7450.845,3744.493,22.935,44.172,0.03771,33,91,YES
105,11834.43,5239.651,34.278,75.541,0.03764,22,79,YES
106,7613.908,3576.971,21.138,42.839,0.0372,33,87,YES
107,13256.678,8455.788,31.572,31.741,0.04135,55,101,YES
108,12207.788,2343.38,29.805,14.085,0.03695,100,77,YES
109,7526.519,7037.482,6.332,85.814,0.03602,109,44,YES
110,7309.836,3878.029,60.862,31.035,0.0362,99,43,YES
113,8308.198,9323.164,41.842,137.417,0.0388,112,90,YES
115,8021.06,2865.301,25.563,30.009,0.0344,1,113,YES
116,8031.379,4180.019,32.642,80.103,0.03426,116,88,YES
118,8211.658,2666.538,29.139,36.402,0.03404,100,101,YES
119,2980.752,3055.036,10.086,33.06,0.03304,5,110,YES
121,2842.211,2728.782,20.275,8.575,0.03271,121,55,YES
122,3024.789,7992.26,24.695,41,0.03231,60,89,YES
125,8170.023,3312.909,24.872,33.678,0.03174,50,101,YES
127,4631.483,9409.039,25.917,13.374,0.03075,24,120,YES
130,5840.745,15642.447,60.843,152.968,0.03787,3,128,YES
